charged_off_lag_months,window_id,window_rows,retained_rows,window_retention,minimum_monthly_retention,passes_locked_retention,phase_stratum,phase_rows,phase_prevalence,phase_residual_quantile,phase_interval_width_mean,phase_set_both_share
0,w01_2012m01_m06,14967,14949,0.9987973541791942,0.9971164936562861,True,2,3249,0.11665127731609726,0.8919735883395368,0.9881387583482552,0.13727300707910126
0,w02_2012m02_m07,16690,16675,0.9991012582384662,0.9971164936562861,True,2,3621,0.11654239160452913,0.8920116585417792,0.9883652306769672,0.14333057166528584
0,w03_2012m03_m08,19068,19052,0.999160897839312,0.9971164936562861,True,2,4018,0.11398705823792932,0.8916085888119072,0.9880289633104609,0.12692882030861125
0,w04_2012m04_m09,21791,21773,0.9991739709054197,0.9971164936562861,True,2,4511,0.10995344712923964,0.890281077239412,0.9867825422901555,0.07670139658612281
0,w05_2012m05_m10,24313,24282,0.9987249619545099,0.9971164936562861,True,2,5001,0.10657868426314737,0.8894148014498154,0.9859853433399698,0.04979004199160168
0,w06_2012m06_m11,26747,26709,0.9985792799192433,0.9971164936562861,True,2,5505,0.10572207084468666,0.8893536841967226,0.9859485251379693,0.047229791099000905
0,w07_2012m07_m12,28503,28453,0.9982457986878575,0.9971164936562861,True,2,5939,0.10321602963461862,0.8886909233974287,0.9851535995888699,0.022057585452096313
0,w08_2012m08_2013m01,30259,30198,0.9979840708549522,0.9971164936562861,True,2,6251,0.0990241561350184,0.11187000593928165,0.20825402445310648,0.0
3,w01_2012m01_m06,14967,14949,0.9987973541791942,0.9966694421315571,True,2,3249,0.11665127731609726,0.8919735883395368,0.9881387583482552,0.13727300707910126
3,w02_2012m02_m07,16690,16675,0.9991012582384662,0.9966694421315571,True,2,3621,0.11654239160452913,0.8920116585417792,0.9883652306769672,0.14333057166528584
3,w03_2012m03_m08,19068,19052,0.999160897839312,0.9966694421315571,True,2,4018,0.11398705823792932,0.8916085888119072,0.9880289633104609,0.12692882030861125
3,w04_2012m04_m09,21791,21773,0.9991739709054197,0.9966694421315571,True,2,4511,0.10995344712923964,0.890281077239412,0.9867825422901555,0.07670139658612281
3,w05_2012m05_m10,24313,24282,0.9987249619545099,0.9966694421315571,True,2,5001,0.10657868426314737,0.8894148014498154,0.9859853433399698,0.04979004199160168
3,w06_2012m06_m11,26747,26709,0.9985792799192433,0.9966694421315571,True,2,5505,0.10572207084468666,0.8893536841967226,0.9859485251379693,0.047229791099000905
3,w07_2012m07_m12,28503,28449,0.998105462582886,0.9966694421315571,True,2,5937,0.10291392959407109,0.8886749896176616,0.9851387217798037,0.021222839818089943
3,w08_2012m08_2013m01,30259,30191,0.9977527347235533,0.9966694421315571,True,2,6249,0.09873579772763642,0.11186160467827937,0.20824626847497563,0.0
6,w01_2012m01_m06,14967,14948,0.9987305405224828,0.9929564746252483,True,2,3249,0.11665127731609726,0.8919735883395368,0.9881387583482552,0.13727300707910126
6,w02_2012m02_m07,16690,16674,0.9990413421210306,0.9929564746252483,True,2,3621,0.11654239160452913,0.8920116585417792,0.9883652306769672,0.14333057166528584
6,w03_2012m03_m08,19068,19049,0.999003566184183,0.9929564746252483,True,2,4018,0.11398705823792932,0.8916085888119072,0.9880289633104609,0.12692882030861125
6,w04_2012m04_m09,21791,21767,0.9988986278738929,0.9929564746252483,True,2,4511,0.10995344712923964,0.890281077239412,0.9867825422901555,0.07670139658612281
6,w05_2012m05_m10,24313,24270,0.9982313988401267,0.9929564746252483,True,2,5001,0.10657868426314737,0.8894148014498154,0.9859853433399698,0.04979004199160168
6,w06_2012m06_m11,26747,26685,0.9976819830261338,0.9929564746252483,True,2,5502,0.10523446019629226,0.8892521057704302,0.9858494930099646,0.04471101417666303
6,w07_2012m07_m12,28503,28411,0.9967722695856577,0.9929564746252483,True,2,5929,0.10170349131388093,0.8884345991499274,0.9848983200473447,0.012987012987012988
6,w08_2012m08_2013m01,30259,30129,0.9957037575597343,0.9929564746252483,True,2,6238,0.0971465213209362,0.1118010883671265,0.20818172077889815,0.0
8,w01_2012m01_m06,14967,14945,0.9985300995523485,0.9868159653241828,False,2,3249,0.11665127731609726,0.8919735883395368,0.9881387583482552,0.13727300707910126
8,w02_2012m02_m07,16690,16669,0.9987417615338526,0.9868159653241828,False,2,3620,0.11629834254143646,0.8919735883395368,0.9883343129081893,0.1414364640883978
8,w03_2012m03_m08,19068,19042,0.9986364589888819,0.9868159653241828,False,2,4016,0.11354581673306773,0.8914417663875044,0.9878822284936603,0.11902390438247012
8,w04_2012m04_m09,21791,21758,0.9984856133266027,0.9868159653241828,False,2,4509,0.10955866045686405,0.8902427153564156,0.9867467962298961,0.07562652472832114
8,w05_2012m05_m10,24313,24245,0.9972031423518283,0.9868159653241828,False,2,4996,0.10568454763811048,0.8893093428244802,0.9858815936643381,0.04643714971977582
8,w06_2012m06_m11,26747,26640,0.9959995513515535,0.9868159653241828,False,2,5494,0.10393156170367673,0.88903966354385,0.9856492442766289,0.037131416090280304
8,w07_2012m07_m12,28503,28349,0.9945970599586008,0.9868159653241828,False,2,5916,0.09972954699121028,0.11188325252114233,0.2083465264137485,0.0
8,w08_2012m08_2013m01,30259,30035,0.9925972437952345,0.9868159653241828,False,2,6217,0.09409683126910086,0.11171235946047844,0.20808778095976202,0.0
12,w01_2012m01_m06,14967,14918,0.9967261308211398,0.9745349467220517,False,2,3244,0.11528976572133169,0.8918727660654336,0.9880507163356359,0.13255240443896424
12,w02_2012m02_m07,16690,16612,0.995326542840024,0.9745349467220517,False,2,3611,0.11409581833287179,0.8916414588574106,0.9880417238455119,0.1282193298255331
12,w03_2012m03_m08,19068,18949,0.9937591776798825,0.9745349467220517,False,2,4004,0.1108891108891109,0.8907949705797163,0.9873001284400981,0.0959040959040959
12,w04_2012m04_m09,21791,21621,0.9921986141067413,0.9745349467220517,False,2,4493,0.1063877142221233,0.8894829334991204,0.98602897814676,0.05052303583351881
12,w05_2012m05_m10,24313,24058,0.9895117838193559,0.9745349467220517,False,2,4976,0.10209003215434084,0.8883803108986407,0.9849755772001694,0.011454983922829582
12,w06_2012m06_m11,26747,26396,0.9868770329382734,0.9745349467220517,False,2,5462,0.09868180153789821,0.11186160467827937,0.20848073235193956,0.0
12,w07_2012m07_m12,28503,28052,0.9841771041644739,0.9745349467220517,False,2,5873,0.09313808956240423,0.11169021047879088,0.20814243720284836,0.0
12,w08_2012m08_2013m01,30259,29700,0.9815261575068575,0.9745349467220517,False,2,6170,0.08719611021069693,0.11150439345019356,0.2078719347850636,0.0
