paired_policy_id,comparator_rule,comparator,realized_payoff_difference_lower,realized_payoff_difference_upper,weighted_default_difference_lower,weighted_default_difference_upper,weighted_miscoverage_difference_lower,weighted_miscoverage_difference_upper,undiscounted_snapshot_cash_yield_difference,payoff_direction,default_direction,miscoverage_direction
linear-001,c0_same_numeric_cap,C0: same numeric cap,102659.99289077712,298278.2739246773,-0.0661642157743641,-0.047196895379691406,-0.025200882441030772,-0.008218562046358072,0.02769250296770512,positive,negative,negative
linear-002,c0_same_numeric_cap,C0: same numeric cap,75057.75816153665,328496.11543309805,-0.08495112812792044,-0.060204797441636024,-0.0352303248554313,-0.012855660835813545,0.029232694758149064,positive,negative,negative
linear-003,c0_same_numeric_cap,C0: same numeric cap,42770.928346567,308272.775846567,-0.08968508438515341,-0.06369675105182007,-0.031898774242579614,-0.008948774242579605,0.027707993904612555,positive,negative,negative
linear-004,c0_same_numeric_cap,C0: same numeric cap,5384.959430802446,156711.07886386613,-0.04571798164798822,-0.03104392329476542,-0.012709152637143999,-2.0094283921201668e-05,0.022556952835771544,positive,negative,negative
linear-005,c0_same_numeric_cap,C0: same numeric cap,40238.99110853876,276968.79993657686,-0.07549580495206723,-0.052434111979444524,-0.026532283419933654,-0.005842257113977621,0.02574182942704317,positive,negative,negative
linear-006,c0_same_numeric_cap,C0: same numeric cap,43451.802412291494,301018.0180862751,-0.08538759377751601,-0.060190278889065925,-0.03172821087493957,-0.009091544208272899,0.027237965656320123,positive,negative,negative
linear-007,c0_same_numeric_cap,C0: same numeric cap,236.18815607336364,91977.97565607337,-0.03332748334924183,-0.024589150015908494,-0.007215816682575156,0.0015225166507581763,0.013011121845329942,positive,negative,indeterminate
linear-008,c0_same_numeric_cap,C0: same numeric cap,33336.875760407165,263296.0507604072,-0.06964329606097097,-0.0472966293943043,-0.024578695704477852,-0.004603695704477851,0.02582440816937646,positive,negative,negative
linear-009,c0_same_numeric_cap,C0: same numeric cap,24698.8079610923,280535.27546109236,-0.08007723364453127,-0.05506890031119793,-0.0289149210783051,-0.006278254411638437,0.02610015503554808,positive,negative,negative
linear-001,c1_development_fixed,C1: fixed development cap,11368.01654474797,113578.12895358549,-0.012870177032249613,-0.0026710347371764714,-0.004868510365582947,0.004130631929490194,0.0035657317775791147,positive,negative,indeterminate
linear-002,c1_development_fixed,C1: fixed development cap,-169387.2274736617,-22427.71974522306,-0.001753036243217862,0.012932299737164378,0.00620682912720634,0.019305498440921914,-0.005779384097980268,negative,indeterminate,positive
linear-003,c1_development_fixed,C1: fixed development cap,-177703.81468718877,-10369.843056535668,-0.004766798522409035,0.012362445364704756,0.010309493682249388,0.025185404236029846,-0.006424633811256512,negative,indeterminate,positive
linear-004,c1_development_fixed,C1: fixed development cap,-51430.224975515506,3955.209703487082,-0.0023197626293973584,0.0032758167058891553,0.0012590663814468616,0.005654645716733373,0.004940201774588648,indeterminate,indeterminate,positive
linear-005,c1_development_fixed,C1: fixed development cap,-114297.11861188087,14671.617716157241,-0.006026666192698007,0.00681669344659136,0.005077328652102738,0.01633402162472544,-0.005087894310951538,indeterminate,indeterminate,positive
linear-006,c1_development_fixed,C1: fixed development cap,-215681.53684266686,-65280.10530496141,0.0018019576976678747,0.01698489454789863,0.013521340600244314,0.02692862922869165,-0.010063859133636034,negative,positive,positive
linear-007,c1_development_fixed,C1: fixed development cap,27053.37088830011,67434.64338830012,-0.007608156835752143,-0.0037231568357521403,-0.005576490169085474,-0.002476490169085476,0.004260438504330104,positive,negative,negative
linear-008,c1_development_fixed,C1: fixed development cap,-146729.55168277092,-23005.94918277089,-0.0014702549067618503,0.01082474509323815,0.009539638072271941,0.020247971405605275,-0.0036106752615436,negative,indeterminate,positive
linear-009,c1_development_fixed,C1: fixed development cap,-208372.87489608856,-62724.422431310624,0.001978398910404951,0.016520497125719923,0.011728200355666935,0.02468363190431524,-0.008237022717656917,negative,positive,positive
linear-001,c2_contemporaneous,C2: contemporaneous funded-PD match,-7379.684954467528,89593.94357943264,-0.009345582406563115,0.0003467379881095863,-0.0017304274889925666,0.006761892905680135,0.0015905933587840246,indeterminate,indeterminate,indeterminate
linear-002,c2_contemporaneous,C2: contemporaneous funded-PD match,-170958.0506816462,-23355.645278734082,-0.0016769603556563324,0.013084381733902884,0.007470194538271021,0.02064486996116357,-0.004716107435517855,negative,indeterminate,positive
linear-003,c2_contemporaneous,C2: contemporaneous funded-PD match,-195811.88184517133,-26690.686845171324,-0.0021584886029494196,0.01508651139705058,0.01210367712875568,0.027095343795422347,-0.006467524823130753,negative,indeterminate,positive
linear-004,c2_contemporaneous,C2: contemporaneous funded-PD match,-45995.41979403753,7034.364639026142,-0.0015181158115019997,0.003815942541720797,0.001486924645727316,0.005620982998950114,0.005680310888014434,indeterminate,indeterminate,positive
linear-005,c2_contemporaneous,C2: contemporaneous funded-PD match,-135905.18562966606,-6936.449301627916,-0.0031702467880402024,0.009673112851249166,0.006988479034400092,0.018245172007022793,-0.005609262380946493,negative,indeterminate,positive
linear-006,c2_contemporaneous,C2: contemporaneous funded-PD match,-182723.41445994013,-30426.929933036823,-0.0011389612644556926,0.014268016844768722,0.011468052089149555,0.025099381976590555,-0.00693587761403109,negative,indeterminate,positive
linear-007,c2_contemporaneous,C2: contemporaneous funded-PD match,-43302.66153504162,-3211.23403504162,-0.0008452451667670859,0.0030080881665662494,3.319136982313578e-05,0.00310152470315647,0.0005103002290421724,negative,indeterminate,positive
linear-008,c2_contemporaneous,C2: contemporaneous funded-PD match,-157069.75348556685,-25322.43860323287,-0.0005188772361298466,0.012567045371529268,0.007330023613209583,0.01882927955420203,-0.005092064824513194,negative,indeterminate,positive
linear-009,c2_contemporaneous,C2: contemporaneous funded-PD match,-218918.9543599012,-74357.55685990123,0.0028877932856407086,0.017311126618974042,0.013609654496699496,0.026446321163366163,-0.008361375481858481,negative,positive,positive
